district_id,cook_pvi,cook_pvi_string,incumbent,incumbent_party,is_open,cook_rating,source_url
MA-09,6.0,D+6,Bill Keating,D,False,Solid D,https://www.cookpolitical.com/races
MD-01,-8.0,R+8,Andy Harris,R,False,Solid R,https://www.cookpolitical.com/races
MD-02,10.0,D+10,Johnny Olszewski,D,False,Solid D,https://www.cookpolitical.com/races
MD-03,12.0,D+12,Sarah Elfreth,D,False,Solid D,https://www.cookpolitical.com/races
MD-04,39.0,D+39,Glenn Ivey,D,False,Solid D,https://www.cookpolitical.com/races
MD-05,17.0,D+17,OPEN,,True,Solid D,https://www.cookpolitical.com/races
MD-06,3.0,D+3,April McClain Delaney,D,False,Solid D,https://www.cookpolitical.com/races
MD-07,31.0,D+31,Kweisi Mfume,D,False,Solid D,https://www.cookpolitical.com/races
MD-08,30.0,D+30,Jamie Raskin,D,False,Solid D,https://www.cookpolitical.com/races
ME-01,11.0,D+11,Chellie Pingree,D,False,Solid D,https://www.cookpolitical.com/races
ME-02,-4.0,R+4,OPEN,,True,Likely R,https://www.cookpolitical.com/races
MI-01,-11.0,R+11,Jack Bergman,R,False,Solid R,https://www.cookpolitical.com/races
MI-02,-15.0,R+15,John Moolenaar,R,False,Solid R,https://www.cookpolitical.com/races
MI-03,4.0,D+4,Hillary Scholten,D,False,Solid D,https://www.cookpolitical.com/races
MI-04,-3.0,R+3,Bill Huizenga,R,False,Lean R,https://www.cookpolitical.com/races
MI-05,-13.0,R+13,Tim Walberg,R,False,Solid R,https://www.cookpolitical.com/races
