district_id,dem_votes,rep_votes,other_votes,total_votes,dem_pct,rep_pct,margin,winner_party
NV-03,131086,121083,0,252169,51.98,48.02,3.9599999999999937,D
NV-04,116617,105870,0,222487,52.42,47.58,4.840000000000003,D
NY-01,135170,154046,37836,327052,46.74,53.26,-6.519999999999996,R
NY-02,93299,130798,32020,256117,41.63,58.37,-16.739999999999995,R
NY-03,120045,133859,25868,279772,47.28,52.72,-5.439999999999998,R
NY-04,130871,129353,18324,278548,50.29,49.71,0.5799999999999983,D
NY-05,104396,31405,8515,144316,76.87,23.13,53.74000000000001,D
NY-06,85049,44264,8379,137692,65.77,34.23,31.54,D
NY-07,95645,26351,31561,153557,78.4,21.6,56.800000000000004,D
NY-08,99079,36776,8621,144476,72.93,27.07,45.86000000000001,D
NY-09,99771,0,67762,167533,100.0,0.0,100.0,D
NY-10,160582,26711,14838,202131,85.74,14.26,71.47999999999999,D
NY-11,71801,107989,11293,191083,39.94,60.06,-20.120000000000005,R
NY-12,184872,40994,25212,251078,81.85,18.15,63.699999999999996,D
NY-13,116589,0,26206,142795,100.0,0.0,100.0,D
NY-14,74050,31935,16597,122582,69.87,30.13,39.74000000000001,D
NY-15,76406,15882,9444,101732,82.79,17.21,65.58000000000001,D
NY-16,127024,74156,20417,221597,63.14,36.86,26.28,D
NY-17,133457,125738,32113,291308,51.49,48.51,2.980000000000004,D
NY-18,123168,116972,32477,272617,51.29,48.71,2.5799999999999983,D
NY-19,124396,129960,38221,292577,48.91,51.09,-2.180000000000007,R
NY-20,145928,110903,38891,295722,56.82,43.18,13.64,D
NY-21,112645,150595,26377,289617,42.79,57.21,-14.420000000000002,R
NY-22,132913,116529,24539,273981,53.28,46.72,6.560000000000002,D
NY-23,104114,163000,39012,306126,38.98,61.02,-22.040000000000006,R
NY-24,95028,156347,34150,285525,37.8,62.2,-24.400000000000006,R
NY-25,139875,108010,37105,284990,56.43,43.57,12.86,D
NY-26,141942,70547,38811,251300,66.8,33.2,33.599999999999994,D
OH-01,156416,140058,0,296474,52.76,47.24,5.519999999999996,D
OH-02,65745,192117,0,257862,25.5,74.5,-49.0,R
OH-03,182324,76455,18,258797,70.46,29.54,40.919999999999995,D
OH-04,89383,200773,0,290156,30.81,69.19,-38.379999999999995,R
OH-05,92634,187303,0,279937,33.09,66.91,-33.81999999999999,R
OH-06,90500,189883,0,280383,32.28,67.72,-35.44,R
OH-07,135485,168002,86,303573,44.64,55.36,-10.719999999999999,R
OH-08,98629,180287,0,278916,35.36,64.64,-29.28,R
